coin,market_cap_percentage,timestamp,date,time
bnb,3.483488804076821,2022-03-01 08:43:34,2022-03-01,08:43:34
usdc,2.6705309394594305,2022-03-01 08:43:34,2022-03-01,08:43:34
xrp,1.84878481005344,2022-03-01 08:43:34,2022-03-01,08:43:34
luna,1.6701832866861666,2022-03-01 08:43:34,2022-03-01,08:43:34
sol,1.543828460338017,2022-03-01 08:43:34,2022-03-01,08:43:34
ada,1.5432256658329573,2022-03-01 08:43:34,2022-03-01,08:43:34
avax,1.07574578604493,2022-03-01 08:43:34,2022-03-01,08:43:34
btc,41.189865088561255,2022-03-01 09:03:39,2022-03-01,09:03:39
eth,17.476244119144603,2022-03-01 09:03:39,2022-03-01,09:03:39
usdt,3.973195093707525,2022-03-01 09:03:39,2022-03-01,09:03:39
bnb,3.4953401160656186,2022-03-01 09:03:39,2022-03-01,09:03:39
usdc,2.6713698393004632,2022-03-01 09:03:39,2022-03-01,09:03:39
xrp,1.8496770918085044,2022-03-01 09:03:39,2022-03-01,09:03:39
luna,1.659587924765546,2022-03-01 09:03:39,2022-03-01,09:03:39
ada,1.5499322085476506,2022-03-01 09:03:39,2022-03-01,09:03:39
sol,1.5492738782839734,2022-03-01 09:03:39,2022-03-01,09:03:39
avax,1.069678121577627,2022-03-01 09:03:39,2022-03-01,09:03:39
btc,41.19900746216282,2022-03-01 09:13:41,2022-03-01,09:13:41
eth,17.482726315947865,2022-03-01 09:13:41,2022-03-01,09:13:41
usdt,3.980817080570216,2022-03-01 09:13:41,2022-03-01,09:13:41
bnb,3.4630039096396,2022-03-01 09:13:41,2022-03-01,09:13:41
usdc,2.676113227598864,2022-03-01 09:13:41,2022-03-01,09:13:41
xrp,1.8495419976864351,2022-03-01 09:13:41,2022-03-01,09:13:41
luna,1.6616642061325329,2022-03-01 09:13:41,2022-03-01,09:13:41
ada,1.5490014240478924,2022-03-01 09:13:41,2022-03-01,09:13:41
sol,1.544621715077265,2022-03-01 09:13:41,2022-03-01,09:13:41
avax,1.0673596313441152,2022-03-01 09:13:41,2022-03-01,09:13:41
btc,41.20872319460054,2022-03-01 09:23:43,2022-03-01,09:23:43
eth,17.47652394629034,2022-03-01 09:23:43,2022-03-01,09:23:43
usdt,3.982815724658689,2022-03-01 09:23:43,2022-03-01,09:23:43
bnb,3.443934598114972,2022-03-01 09:23:43,2022-03-01,09:23:43
usdc,2.680132581986088,2022-03-01 09:23:43,2022-03-01,09:23:43
xrp,1.848656747729106,2022-03-01 09:23:43,2022-03-01,09:23:43
luna,1.6684560317763508,2022-03-01 09:23:43,2022-03-01,09:23:43
ada,1.5507682013706428,2022-03-01 09:23:43,2022-03-01,09:23:43
sol,1.544819063239436,2022-03-01 09:23:43,2022-03-01,09:23:43
avax,1.0678562071285076,2022-03-01 09:23:43,2022-03-01,09:23:43
btc,41.24935776933147,2022-03-01 09:43:48,2022-03-01,09:43:48
eth,17.44656989526508,2022-03-01 09:43:48,2022-03-01,09:43:48
usdt,3.994197923786852,2022-03-01 09:43:48,2022-03-01,09:43:48
bnb,3.443538716458297,2022-03-01 09:43:48,2022-03-01,09:43:48
